"Haplotype" "Expression"
"A6" -1.90635800283303
"A8" 0.387868692685013
"A4" 0.719718857525236
"A8" 1.37281032288298
"A4" 0.439392225998688
"A5" -1.37281032288298
"A6" -2.34813020073152
"A8" 0.602006499049553
"A8" 1.67293738760497
"A5" 0.602006499049553
"A4" 0.492110104528519
"A8" -0.387868692685014
"A5" 1.67293738760497
"A1" -0.0947312421831195
"A8" 1.16188293727674
"A4" 0.190322269836495
"A4" -0.546233181130787
"A8" -0.190322269836495
"A8" 0.602006499049553
"A7" 1.37281032288298
"A6" -2.34813020073152
"A4" -0.602006499049553
"A6" -0.782429395128962
"A8" -1.37281032288298
"A8" 0.659719326022605
"A1" 1.16188293727674
"A6" 0.602006499049553
"A8" 0.546233181130787
"A8" 0.492110104528519
"A4" 2.34813020073152
"A3" 2.34813020073152
"A8" 2.34813020073152
"A4" 2.34813020073152
"A4" 0.848379932076291
"A7" 0.782429395128963
"A1" -0.992908151440398
"A1" 2.34813020073152
"A8" 0.439392225998688
"A4" 0.190322269836495
"A7" 0.190322269836495
"A7" 0.782429395128963
"A7" 1.07356237627451
"A6" -2.34813020073152
"A7" -0.492110104528519
"A6" 0.142364055348966
"A5" -1.37281032288298
"A5" -0.142364055348966
"A8" 0.492110104528519
"A4" -1.50596767621928
"A4" 1.90635800283303
"A1" 1.50596767621928
"A4" 1.37281032288298
"A8" -0.992908151440398
"A5" 0.287688876279986
"A4" 0.992908151440398
"A8" -0.0403271124170563
"A4" NA
"A8" 0.190322269836495
"A3" -1.37281032288298
"A6" -0.659719326022605
"A1" -0.287688876279986
"A6" -1.07356237627451
"A1" -1.07356237627451
"A6" -0.047312518491311
"A7" 1.26033879727313
"A8" 0
"A6" -1.67293738760497
"A8" -0.387868692685014
"A2" 0.337355327037516
"A6" -1.34439369898099
"A4" 0.992908151440398
"A8" 1.26033879727313
"A5" -0.439392225998688
"A5" 0.918245092512505
"A4" 1.90635800283303
"A8" -0.238722517934155
"A8" 0.439392225998688
"A8" 1.37281032288298
"A1" 0.492110104528519
"A6" -1.50596767621928
"A4" 1.48996018955377
"A6" -0.659719326022605
"A6" -1.07356237627451
"A8" 0.387868692685013
"A7" -0.337355327037516
"A8" 1.26033879727313
"A4" 1.67293738760497
"A8" 2.34813020073152
"A7" -0.238722517934155
"A8" 0.238722517934155
"A5" -0.848379932076291
"A7" -0.782429395128962
"A8" 1.37281032288298
"A5" 0.0947312421831195
"A8" -1.07356237627451
"A6" -1.90635800283303
"A8" 1.26033879727313
"A4" 1.67293738760497
"A8" -0.918245092512505
"A4" 1.26033879727313
"A8" 0.848379932076291
"A8" -0.337355327037516
"A1" 0.287688876279986
"A5" 0.190322269836495
"A8" NA
"A4" 1.07356237627451
"A7" -1.16188293727674
"A5" -0.992908151440398
"A8" -1.37281032288298
"A8" -0.848379932076291
"A8" -1.50596767621928
"A4" -0.387868692685014
"A8" -1.37281032288298
"A4" 1.26033879727313
"A3" -0.848379932076291
"A8" -0.142364055348966
"A7" -0.190322269836495
"A6" -0.439392225998688
"A8" 0.047312518491311
"A4" 0
"A8" -0.238722517934155
"A6" -1.67293738760497
"A8" -0.337355327037516
"A3" 2.34813020073152
"A3" -0.238722517934155
"A4" 1.37281032288298
"A8" 1.90635800283303
"A8" 0
"A8" -0.238722517934155
"A8" -0.238722517934155
"A6" -0.142364055348966
"A8" -0.190322269836495
