"Haplotype" "Expression"
"A8" 0.142364055348966
"A8" 1.90635800283303
"A8" -0.659719326022605
"A4" 0.782429395128963
"A8" 0.238722517934155
"A6" NA
"A5" 0.238722517934155
"A6" 0.387868692685013
"A6" -1.67293738760497
"A4" 2.34813020073152
"A4" -0.238722517934155
"A8" 1.16188293727674
"A7" -0.992908151440398
"A7" -0.337355327037516
"A8" 0.238722517934155
"A6" -1.37281032288298
"A4" -0.190322269836495
"A5" 0.337355327037516
"A6" NA
"A5" 1.67293738760497
"A8" -1.67293738760497
"A6" -1.37281032288298
"A8" 1.07356237627451
"A8" 1.37281032288298
"A7" -0.238722517934155
"A7" 0
"A6" -1.67293738760497
"A4" 1.67293738760497
"A6" NA
"A1" 0.918245092512505
"A8" 1.37281032288298
"A8" -0.0947312421831195
"A6" NA
"A5" 0.0947312421831195
"A6" -1.90635800283303
"A6" 1.37281032288298
"A8" -0.848379932076291
"A5" -0.387868692685014
"A4" 0.782429395128963
"A8" -1.26033879727313
"A8" -0.142364055348966
"A4" 0.439392225998688
"A8" -1.37281032288298
"A8" -0.0947312421831195
"A4" -1.16188293727674
"A4" 0.918245092512505
"A4" -0.387868692685014
"A5" -1.90635800283303
"A4" 0.918245092512505
"A5" -0.782429395128962
"A6" -0.439392225998688
"A8" 1.07356237627451
"A4" 0.337355327037516
"A6" 0
"A1" 1.90635800283303
"A1" 0.602006499049553
"A7" 1.07356237627451
"A6" -0.719718857525236
"A8" 0.992908151440398
"A1" 1.67293738760497
"A4" 1.67293738760497
"A6" 0.287688876279986
"A5" -0.659719326022605
"A7" 0.287688876279986
"A4" 0.047312518491311
"A6" -0.659719326022605
"A4" -0.659719326022605
"A6" -1.50596767621928
"A8" 1.26033879727313
"A3" -0.439392225998688
"A5" -0.190322269836495
"A4" 0.190322269836495
"A6" -0.782429395128962
"A8" -1.37281032288298
"A6" -1.37281032288298
"A7" -0.918245092512505
"A4" 0.918245092512505
"A6" -1.90635800283303
"A4" 1.26033879727313
"A8" 1.26033879727313
"A4" 0.782429395128963
"A8" -0.602006499049553
"A7" 0.190322269836495
"A8" -0.190322269836495
"A7" 0.337355327037516
"A8" -1.26033879727313
"A4" 0.546233181130787
"A8" -0.287688876279986
"A7" 0.142364055348966
"A7" 2.34813020073152
"A4" 1.37281032288298
"A4" 1.29342635933284
"A4" 1.37281032288298
"A8" 0.439392225998688
"A8" 0.0947312421831195
"A4" 0.918245092512505
"A1" 0.659719326022605
"A4" 0.659719326022605
"A3" -0.848379932076291
"A4" 1.90635800283303
"A6" 1.26033879727313
"A8" 0.238722517934155
"A8" 0.337355327037516
"A8" -0.602006499049553
"A6" -0.782429395128962
"A7" -0.337355327037516
"A4" 1.26033879727313
"A2" -1.26033879727313
"A6" -1.90635800283303
"A8" -0.546233181130787
"A5" 1.26033879727313
"A8" 0.387868692685013
"A1" 0.492110104528519
"A1" 0.918245092512505
"A8" -0.0947312421831195
"A8" 0.287688876279986
"A1" -0.602006499049553
"A3" 1.90635800283303
"A4" 1.12185666493527
"A8" 0.546233181130787
"A6" 0.387868692685013
"A8" 0.439392225998688
"A8" -1.07356237627451
"A7" 0.918245092512505
"A4" 0.492110104528519
"A4" -0.239005573058241
