ID,Treatment,Sex,Population,MCINXTMP_015706,MCINXTMP_013226,MCINXTMP_013649,MCINXTMP_011911,MCINXTMP_008839,MCINXTMP_002957,MCINXTMP_005765,MCINXTMP_005882,MCINXTMP_008560,MCINXTMP_001012,MCINXTMP_003068,MCINXTMP_011662,MCINXTMP_005526,MCINXTMP_013320,MCINXTMP_000554,MCINXTMP_011576,MCINXTMP_013272,MCINXTMP_001679,MCINXTMP_007636,MCINXTMP_003690,MCINXTMP_003458,MCINXTMP_002038,MCINXTMP_007341,MCINXTMP_011939,MCINXTMP_005553,MCINXTMP_010227,MCINXTMP_007822,MCINXTMP_012643,MCINXTMP_008817,MCINXTMP_009372,MCINXTMP_012093,MCINXTMP_000102,MCINXTMP_011030,MCINXTMP_001818,MCINXTMP_014090,MCINXTMP_008457,MCINXTMP_007672,MCINXTMP_004099,MCINXTMP_007295,MCINXTMP_000022,MCINXTMP_015213,MCINXTMP_003108,MCINXTMP_010509,MCINXTMP_013625,MCINXTMP_005845,MCINXTMP_009277,MCINXTMP_012616,MCINXTMP_000503,MCINXTMP_011176,MCINXTMP_001509
PT11_41_4,Flight1h,Female,PT,16.587,2.073,1.382,53.217,20.043,39.394,3.456,252.952,1.037,28.682,3.456,255.025,0,10.021,8.639,0,221.506,1.382,10.712,1.037,5.529,8.294,20.734,3.11,0,36.284,7.948,0.346,0,15.205,0.691,273.686,2.073,0,1.382,5.183,1714.682,71.186,34.556,254.334,1292.75,20.043,7.602,2.073,13.477,1.728,14.168,0.346,2.765,0
PT11_49_5,Flight20h,Female,PT,2.522,28.25,0,4.036,22.701,43.385,3.531,139.234,3.027,9.585,23.206,158.404,0.504,1.009,20.179,0,249.209,0.504,13.116,1.009,7.063,10.089,3.531,0.504,0,30.268,4.036,0.504,0.504,14.63,3.027,167.485,2.522,1.009,0.504,19.674,1350.47,76.68,20.683,121.578,709.287,5.549,19.17,12.107,4.54,2.522,15.134,0,0,0.504
PT11_51_4,Control20h,Female,PT,12.846,5.566,3.211,0.428,36.396,143.229,5.781,157.145,2.997,34.255,22.48,191.4,1.499,3.64,18.412,0,127.814,1.499,8.992,2.141,3.426,17.342,2.141,10.705,0.428,23.336,2.569,1.285,1.713,29.545,26.976,40.25,1.713,0,0.214,8.35,703.512,31.686,92.489,67.654,1401.03,11.775,26.119,25.263,16.271,8.136,70.651,0,3.854,0.856
PT11_54_5,Flight1h,Female,PT,6.599,8.398,2.1,2.999,30.894,41.092,7.199,140.073,5.999,24.295,15.297,126.576,0,5.399,856.935,0.6,61.488,2.4,11.998,1.2,2.1,19.496,0.3,5.999,1.5,22.496,14.397,2.699,0.9,54.889,2.999,112.778,0.9,0,2.699,16.797,696.466,36.293,21.296,124.476,949.618,8.398,24.595,18.596,3.599,2.999,31.494,5.699,0.9,1.5
PT11_68_1,Flight1h,Female,PT,10.483,2.382,1.429,1.191,34.069,71.711,19.298,133.655,2.382,33.116,15.724,153.429,2.621,2.621,27.875,0.238,136.752,1.429,12.15,0.476,2.144,16.677,0.238,4.288,2.382,20.727,2.382,1.668,0.476,36.69,0.238,69.805,0.715,0,1.668,16.915,879.835,43.599,61.705,64.564,1601.714,7.624,25.73,33.354,8.577,9.292,87.436,0,2.859,1.191
PT11_76_5,Flight1h,Female,PT,12.532,6.893,12.846,0,33.837,39.79,5.326,106.838,3.446,32.584,25.065,131.903,0.313,15.979,136.915,0,159.474,0,10.026,2.82,16.292,13.159,6.579,1.88,1.253,18.172,0.627,1.567,3.446,30.704,5.64,201.77,0.94,0,1.253,6.579,1324.038,47.623,70.181,85.533,838.098,2.506,22.245,14.412,1.253,2.506,35.717,0,3.76,4.7
PT11_88_5,Flight1h,Female,PT,4.45,8.604,3.263,0.593,27.591,28.481,1.187,221.621,5.637,26.108,9.494,47.766,15.724,9.79,305.878,1.187,283.924,0.297,4.45,5.637,5.637,6.527,2.967,3.857,0.593,4.154,6.824,0.297,0.297,44.502,2.373,323.383,7.714,0.297,5.34,7.417,898.054,75.06,89.301,408.234,871.946,9.197,29.965,3.857,4.45,2.967,33.525,0.89,1.78,0.593
PT11_90_1,Flight20h,Female,PT,5.233,0,2.818,7.246,53.945,52.737,3.221,264.09,0.805,38.647,18.921,365.539,1.61,3.623,322.866,0,75.282,3.221,20.531,2.415,3.221,10.467,5.233,4.831,0.805,12.882,7.246,0.805,0,78.1,2.818,245.974,0.403,0,0.805,9.259,625.603,49.517,35.427,144.525,1138.081,10.064,41.063,13.285,8.052,6.039,31.803,2.818,9.662,1.208
PT11_94_4,Flight20h,Female,PT,13.211,5.457,2.872,0.574,40.496,39.921,2.872,475.608,2.01,41.07,13.786,199.319,1.723,2.01,117.179,0,58.589,1.436,2.585,14.647,3.159,22.402,5.744,3.734,2.585,40.208,3.446,0.862,0,93.915,1.723,292.947,1.149,0,1.436,13.211,1295.286,69.503,41.932,76.97,1696.795,11.201,15.222,18.955,9.478,1.149,71.226,0.862,2.298,0.574
PT11_119_2,Flight20h,Male,PT,8.42,3.886,1.295,0.432,29.794,52.247,10.363,261.449,5.181,33.032,31.737,198.84,0,1.295,697.774,0,81.824,2.807,5.829,1.079,6.909,11.658,4.318,2.591,0.432,39.725,5.613,0.864,0,61.098,0.648,216.327,4.318,0,1.295,8.852,1168.858,25.044,56.133,151.559,589.395,5.829,23.749,28.066,10.147,9.715,31.737,0,3.023,0
