ID,Treatment,Sex,Population,MCINXTMP_015706,MCINXTMP_013226,MCINXTMP_013649,MCINXTMP_011911,MCINXTMP_008839,MCINXTMP_002957,MCINXTMP_005765,MCINXTMP_005882,MCINXTMP_008560,MCINXTMP_001012,MCINXTMP_003068,MCINXTMP_011662,MCINXTMP_005526,MCINXTMP_013320,MCINXTMP_000554,MCINXTMP_011576,MCINXTMP_013272,MCINXTMP_001679,MCINXTMP_007636,MCINXTMP_003690,MCINXTMP_003458,MCINXTMP_002038,MCINXTMP_007341,MCINXTMP_011939,MCINXTMP_005553,MCINXTMP_010227,MCINXTMP_007822,MCINXTMP_012643,MCINXTMP_008817,MCINXTMP_009372,MCINXTMP_012093,MCINXTMP_000102,MCINXTMP_011030,MCINXTMP_001818,MCINXTMP_014090,MCINXTMP_008457,MCINXTMP_007672,MCINXTMP_004099,MCINXTMP_007295,MCINXTMP_000022,MCINXTMP_015213,MCINXTMP_003108,MCINXTMP_010509,MCINXTMP_013625,MCINXTMP_005845,MCINXTMP_009277,MCINXTMP_012616,MCINXTMP_000503,MCINXTMP_011176,MCINXTMP_001509
AF11_658,Flight20h,Female,AL,5.494,5.906,0,2.06,31.59,51.643,5.219,244.07,2.06,101.501,22.388,26.783,1.648,4.945,18.68,0,42.304,4.395,2.61,0,5.357,6.593,1.099,9.477,0.275,27.745,0.549,41.342,0.137,132.817,3.296,77.19,1.648,1.648,1.236,6.593,198.47,45.051,34.612,379.222,844.012,23.761,42.716,12.911,9.477,14.834,99.853,9.34,2.61,0.549
AF11_6979,Control20h,Female,AL,1.471,15.696,6.131,4.414,20.356,47.088,5.641,146.168,6.376,24.525,15.696,66.953,5.395,0.736,26.732,0,283.016,4.169,14.224,5.641,16.677,9.565,0.245,2.452,0,12.508,1.226,7.357,0,36.787,1.962,48.069,0.736,0,5.15,19.865,854.198,59.105,17.413,500.796,742.856,8.584,14.224,10.055,23.299,2.452,7.112,0.245,0.49,0.736
AF11_7361,Flight20h,Female,AL,4.735,15.153,2.029,9.335,11.636,40.995,1.218,83.614,5.547,46.677,9.065,49.113,9.877,7.306,17.183,4.465,96.196,8.794,4.465,1.488,7.035,9.065,2.706,5.682,0,20.43,4.059,6.63,1.894,76.172,2.435,124.203,0.947,1.624,4.465,10.824,301.577,69.272,10.147,394.12,477.869,12.177,49.113,28.277,9.877,9.335,10.553,4.871,1.218,3.653
AF11_7658,Control1h,Female,AL,5.666,19.83,1.416,3.541,33.641,15.935,1.771,127.834,20.538,26.912,25.142,175.639,3.187,0.708,36.828,8.499,153.684,1.416,3.541,0,14.519,22.309,1.062,2.833,6.02,8.853,0,23.371,2.479,10.623,4.958,52.054,4.249,0,0.708,24.788,955.391,47.451,24.788,659.354,595.969,2.833,47.805,21.601,14.164,7.79,16.289,0,5.666,0.354
AF11_827,Flight1h,Female,AL,16.473,46.023,2.547,3.906,10.699,49.929,4.585,112.596,2.717,31.588,24.625,71.328,2.887,3.566,57.572,7.812,143.674,6.963,2.717,3.397,0.679,13.926,0.509,2.547,8.152,23.776,6.623,41.268,7.472,23.946,3.566,84.574,0.34,4.755,0.509,11.378,1210.191,28.701,33.286,147.24,1760.093,6.284,76.253,18.172,20.04,8.491,86.442,0.34,3.736,0.509
AF11_8387,Flight1h,Female,AL,8.516,19.16,3.726,0,20.225,39.385,0.532,85.69,1.064,26.08,13.306,72.916,2.661,0.532,20.225,0,191.605,4.258,5.322,0,1.597,2.661,2.661,4.79,2.129,11.709,2.129,25.015,1.064,14.903,0,153.816,2.129,1.064,1.064,17.564,700.422,19.16,34.595,367.775,702.019,3.726,15.435,11.709,0.532,10.645,28.741,1.064,3.193,0
AF11_8757,Flight1h,Female,AL,6.766,28.602,3.691,11.687,14.147,38.136,1.845,153.469,1.23,19.376,12.302,148.855,3.076,3.691,15.685,28.295,271.876,17.53,13.84,0.615,12.61,8.304,1.845,3.998,0,21.529,3.383,10.764,3.691,28.602,1.845,75.35,8.304,3.383,8.611,25.219,1085.66,43.98,21.836,503.156,1155.782,11.687,44.595,11.687,7.074,5.228,13.225,0.615,1.23,0.308
AF11_8940,Flight1h,Female,AL,11.849,13.645,1.795,6.822,17.595,28.367,2.873,101.977,2.154,17.236,12.568,52.066,5.745,1.436,45.961,0,220.471,5.027,12.208,0,2.514,8.259,0,5.386,5.386,9.336,6.822,20.108,12.927,17.954,1.077,42.371,1.436,1.436,5.745,9.695,580.981,14.722,27.649,220.83,1278.301,3.591,80.791,33.753,10.413,6.463,7.9,0.718,0,0
AF11_9052,Control20h,Female,AL,6.264,42.657,2.983,30.427,15.81,40.868,3.281,49.22,4.176,41.464,25.952,40.569,12.529,2.685,14.617,14.617,49.22,8.949,5.369,0,15.512,15.213,2.088,4.773,0,7.756,2.983,9.546,11.037,52.8,0,56.678,0,0.298,0.298,7.756,963.221,24.759,37.586,526.505,855.533,21.18,21.776,10.142,6.861,6.563,25.057,0.298,8.651,1.193
AF11_9102,Flight20h,Female,AL,8.804,24.306,0.766,3.828,12.823,45.166,0.957,213.583,3.062,64.113,14.162,14.545,0.574,3.445,54.544,0,75.213,3.254,4.402,0.191,4.402,8.229,0.766,4.21,11.1,31.578,0.957,20.861,0,55.692,2.105,63.922,0.574,0.191,0.766,8.229,293.581,48.611,52.056,867.346,1513.263,7.081,20.478,14.736,8.229,9.761,77.701,0.191,1.531,1.34
AF11_948,Flight20h,Female,AL,19.878,21.107,1.025,0.82,41.6,41.19,4.713,128.898,6.967,38.936,21.517,33.608,0.205,5.943,30.534,0.41,118.447,5.328,7.377,2.459,10.451,12.5,0.41,4.303,7.787,18.033,1.639,12.705,0.205,54.92,4.099,32.378,3.074,5.328,3.484,14.345,648.179,28.69,13.935,228.082,614.162,4.099,60.248,7.787,28.485,6.763,19.058,3.689,0.41,1.639
AF11_11245,Flight20h,Male,AL,4.548,32.015,2.547,2.729,35.107,29.468,4.911,99.318,3.456,70.032,16.917,173.533,6.185,5.275,23.283,9.277,35.107,1.819,2.91,3.092,5.821,9.823,2.547,4.911,1.455,42.747,2.729,14.916,0.91,74.943,4.366,148.977,2.001,1.273,0.91,22.374,352.342,19.463,19.645,109.504,522.237,5.457,27.649,20.555,15.825,3.456,86.221,0.728,2.001,0.364
AF11_12747,Flight20h,Male,AL,0.904,4.748,0,0.904,11.984,75.522,0,169.133,1.583,28.038,4.748,49.519,2.713,15.15,11.306,0,135.442,1.131,20.124,0,18.089,11.758,0,14.697,0.904,16.28,1.583,29.847,0.226,15.15,12.436,144.938,4.07,7.688,1.809,35.048,1606.533,27.36,24.646,203.502,1178.049,29.395,15.15,18.089,1.583,1.809,63.312,4.296,0.678,0
AF11_12984,Flight1h,Male,AL,1.49,18.124,2.979,13.655,5.214,21.849,0.497,83.919,1.738,33.518,15.89,12.166,1.986,2.483,100.553,8.69,378.875,4.966,21.6,0,2.483,6.455,0.248,2.483,17.876,21.6,2.235,9.435,1.241,1.986,2.979,126.871,6.455,0,12.662,25.076,1402.286,26.069,32.525,114.209,649.004,1.241,25.325,7.697,21.6,6.455,40.221,0,0,0
AF11_1342,Control1h,Male,AL,12.08,8.404,3.939,6.303,13.918,18.383,1.05,103.994,2.364,17.07,12.343,9.717,2.626,2.101,98.217,6.04,84.036,4.99,8.141,0.788,12.343,17.332,2.889,10.504,4.99,22.059,8.929,25.211,2.364,10.767,5.777,143.124,4.99,0.525,3.677,16.545,1057.014,43.594,18.645,256.572,723.497,12.605,25.999,7.878,21.534,11.292,42.281,1.313,1.576,1.05
AF11_13957,Flight20h,Male,AL,3.142,9.688,3.142,1.571,18.852,32.468,2.095,266.552,2.618,35.872,13.616,178.836,4.713,3.142,75.41,0,107.092,1.047,6.284,0,7.331,7.331,3.404,1.309,3.666,39.799,2.357,29.588,3.142,37.181,1.047,125.683,4.189,2.357,3.404,20.162,604.586,26.708,24.351,97.928,1660.058,7.593,27.231,6.284,8.903,2.618,44.251,1.047,1.047,0
AF11_16018,Control20h,Male,AL,20.202,15.558,6.27,1.393,35.992,31.812,4.18,94.275,3.251,19.737,16.951,85.916,3.483,9.753,93.579,3.251,73.609,6.966,4.644,2.554,4.412,6.966,0.464,1.858,9.985,14.861,3.019,19.273,2.322,26.704,5.109,167.42,2.09,6.037,4.18,5.805,726.802,22.524,32.509,313.477,1044.69,5.341,42.494,21.595,35.992,5.109,25.31,3.251,1.858,0.464
AF11_16113,Flight1h,Male,AL,8.958,20.903,7.058,2.715,10.587,29.59,5.158,140.076,5.158,18.46,14.659,100.713,5.701,9.501,63.523,11.402,158.807,0.814,16.288,0.814,8.415,19.003,2.443,3.258,6.244,18.188,0.543,7.601,8.687,12.759,1.9,39.091,2.443,0.543,0.271,22.803,2418.752,51.307,31.761,57.551,1488.713,7.058,9.501,10.316,7.33,1.086,44.52,0,0,0
AF11_16146,Flight1h,Male,AL,11.395,5.242,4.558,4.786,21.195,29.171,1.595,189.157,6.837,24.613,11.167,156.339,1.823,14.13,128.08,0,107.797,1.823,7.065,0,10.028,15.953,3.191,5.698,1.823,27.12,2.735,12.307,0,9.572,3.646,121.243,2.279,9.344,2.051,8.66,1090.046,24.385,43.301,96.402,748.424,9.572,40.11,14.358,23.702,6.609,67.003,0.912,3.646,2.051
AF11_17767,Flight1h,Male,AL,2.271,17.596,3.406,2.271,29.327,24.219,1.703,330.549,1.324,15.515,18.732,14.38,2.46,3.784,85.333,3.595,224.592,8.893,13.812,2.081,9.839,8.893,0.757,3.027,3.406,28.381,3.217,17.786,4.73,10.596,1.892,131.122,1.514,1.135,1.514,17.975,857.308,23.084,83.063,110.688,1004.703,18.543,21.57,16.461,17.975,3.595,73.035,0,0.568,0
AF11_1888,Flight20h,Male,AL,8.238,14.951,3.661,0,18.002,36.309,1.831,174.528,0,42.717,20.138,223.348,0.915,13.73,33.563,0,110.148,1.526,3.967,0.915,8.238,13.12,1.22,1.526,9.764,43.327,1.831,17.697,3.661,31.427,0.915,108.623,2.441,0.305,2.136,18.917,1749.556,50.345,25.63,149.814,2006.162,5.797,56.142,5.797,6.713,0.61,28.681,2.441,0,1.831
AF11_3227,Flight1h,Male,AL,11.467,5.856,2.684,0.732,12.931,33.426,3.172,151.029,3.416,28.059,14.151,37.33,1.464,3.904,158.105,4.88,228.862,2.196,2.684,0.244,4.148,7.076,1.952,6.588,0.488,25.375,0.976,13.907,0.244,13.663,0,85.64,2.928,1.464,0,21.227,943.261,28.059,36.598,242.525,1082.335,4.636,25.863,9.272,16.103,3.172,91.252,1.464,1.952,0.244
AF11_5171,Flight1h,Male,AL,1.266,32.279,0.316,4.114,8.861,30.697,4.747,106.332,0.633,21.52,7.912,371.213,4.747,4.747,79.749,0,210.766,11.709,13.924,0,4.431,15.507,4.431,10.443,0,18.038,1.899,10.127,6.646,7.912,0,88.294,5.696,1.582,0.949,21.836,1263.644,38.925,25.95,34.495,2043.413,11.076,5.696,4.431,15.19,5.696,47.786,0,0,2.215
AF11_5308,Control1h,Male,AL,0.568,4.264,4.264,0.853,9.38,54.289,0,162.583,4.548,20.465,28.424,24.16,4.264,1.99,63.669,0,52.868,2.842,0.853,0.284,11.654,23.876,0,4.832,0,21.886,0.568,28.424,7.106,13.643,0,165.994,6.822,0,8.243,14.78,1039.167,48.32,19.897,114.831,1049.4,0,18.475,6.253,6.253,0.853,36.098,0,0,0
AF11_6874,Control20h,Male,AL,10.622,14.445,3.399,1.912,21.031,27.616,2.549,74.988,3.611,36.326,17.419,71.377,0.85,5.098,59.268,0,52.045,9.347,4.673,0,9.772,10.834,3.186,4.673,8.072,23.367,2.974,9.347,6.16,24.642,0,149.551,5.098,3.611,3.611,16.782,1139.689,23.792,31.227,348.598,1273.732,13.596,20.393,16.145,26.766,9.135,65.853,0,0.85,2.549
AF11_7345,Flight20h,Male,AL,6.078,14.689,2.364,31.066,14.689,50.821,1.52,153.812,0,45.755,16.04,70.068,0.507,1.351,64.159,1.688,194.503,5.403,8.611,2.701,1.688,4.896,0,10.806,0,43.729,0,23.806,3.377,36.638,0,80.367,5.403,2.533,1.688,23.3,891.977,30.053,31.573,124.097,1095.597,30.222,7.598,9.962,12.832,4.221,36.469,8.442,0,0.507
PT11_101_4,Flight20h,Female,PT,1.933,10.956,1.289,0.644,39.313,29.002,0.644,134.697,0.644,17.723,18.69,356.076,2.578,8.378,157.898,0.644,78.305,0,16.434,3.222,5.8,5.478,4.511,2.578,5.8,17.723,9.345,0.644,0,58.326,5.8,177.877,2.256,0,1.933,8.701,1513.244,50.27,19.979,70.571,933.533,15.145,41.247,3.867,5.8,2.256,11.278,0,0.322,0.644
PT11_102_5,Flight20h,Female,PT,13.936,8.001,0,1.032,67.618,56.262,1.548,240.275,4.129,22.969,13.162,64.004,2.323,6.452,483.131,0,86.2,2.065,11.614,0,3.355,14.969,1.807,3.355,0.774,23.227,0.774,1.807,0,128.267,2.581,188.658,1.548,0,3.097,6.452,592.041,61.682,25.034,164.141,829.994,16.517,57.552,32.518,8.517,5.678,21.679,3.871,4.904,4.129
PT11_103_5,Flight1h,Female,PT,0.332,22.893,2.322,0,33.842,58.394,4.313,449.899,3.981,37.16,35.169,285.998,3.981,0.995,1.327,0,84.937,0.332,5.972,9.29,11.612,14.598,0,0.664,0,13.935,2.986,0.664,0,77.969,0,102.189,6.967,0.664,1.327,20.239,614.796,41.473,18.248,21.898,869.274,17.253,93.563,12.608,9.29,0,23.225,0,1.991,0
PT11_106_1,Flight1h,Female,PT,16.694,0.428,3.424,0,38.953,47.086,5.565,91.175,0,40.879,14.982,251.266,1.712,10.059,380.323,0,51.152,1.712,7.491,3.638,2.996,20.974,4.709,9.631,0.856,22.473,6.635,1.07,0.428,42.377,6.421,107.655,2.568,0,1.498,21.403,940.213,46.658,26.539,47.3,1226.579,8.561,58.215,19.904,2.14,9.417,43.233,0,8.989,2.354
PT11_107_3,Control20h,Female,PT,13.019,1.395,0.93,0,50.448,88.807,19.296,99.501,1.395,37.197,27.433,229.457,2.557,1.86,20.458,0,55.795,2.092,6.277,0.465,2.557,16.971,0.697,6.277,0.465,33.477,3.952,1.395,0.465,62.304,11.159,79.973,2.557,0.232,1.86,19.993,655.823,53.47,59.515,77.183,1252.132,10.229,32.315,35.104,12.321,4.185,95.549,0.232,1.627,0.465
PT11_109_4,Control20h,Female,PT,2.759,18.852,1.379,0.92,27.358,63.452,3.908,139.319,10.116,66.901,21.84,331.285,2.529,1.149,82.764,0,63.682,2.989,14.024,5.518,8.506,11.495,0,3.908,0,31.036,11.265,0.23,0.92,28.737,3.908,53.107,4.828,0,2.069,20.231,687.858,62.303,37.703,35.634,1465.607,10.116,23.45,5.288,1.839,10.575,92.19,0,1.379,0.46
PT11_111_3,Control1h,Female,PT,11.63,30.418,2.982,7.157,36.68,45.627,4.175,116.005,3.877,32.505,31.312,161.631,2.684,0,491.455,0.895,57.257,1.491,28.628,3.877,4.175,14.314,3.579,2.982,0,15.507,10.139,0.895,0.596,43.837,10.437,72.764,2.684,0,0.895,21.77,771.477,60.239,33.698,49.802,1006.469,8.648,31.014,33.102,9.245,11.034,72.168,0,2.386,0.596
