Sort,Year,State,Chlamydia_Count,Chlamydia_Rate,Chlamydia_RankByCount,Chlamydia_RankByRate,Gonorrhea_Count,Gonorrhea_Rate,Gonorrhea_RankByCount,Gonorrhea_RankByRate,Primary_Secondary_Syphilis_Count,Primary_Secondary_Syphilis_Rate,Primary_Secondary_Syphilis_RankByCount,Primary_Secondary_Syphilis_RankByRate
24,2001,Mississippi,11793,412.4,24,2,7759,271.3,19,2,140,4.9,16,3
25,2001,Missouri,13949,247.4,21,26,8723,154.7,18,14,26,0.5,27,22
26,2001,Montana,1919,212,44,37,104,11.5,46,46,0,0,42,
27,2001,Nebraska,3206,186.4,37,40,1189,69.1,35,32,10,0.6,36,21
28,2001,Nevada,4831,230.3,35,30,1756,83.7,32,26,8,0.4,38,23
29,2001,New Hampshire,1383,109.8,46,48,176,14,44,44,1,0.1,41,26
30,2001,New Jersey,16312,191.7,13,39,8921,104.8,17,23,137,1.6,17,14
31,2001,New Mexico,6254,341.6,32,8,1040,56.8,37,34,19,1,31,17
32,2001,New York,46393,243.1,3,27,22299,116.8,4,19,304,1.6,9,14
33,2001,North Carolina,22101,269.3,10,23,16583,202.1,9,7,445,5.4,4,2
34,2001,North Dakota,1062,166.8,48,43,56,8.8,50,49,0,0,42,
35,2001,Ohio,37653,330.6,5,9,21163,185.8,6,9,81,0.7,20,20
36,2001,Oklahoma,10478,302,25,14,4784,137.9,22,17,60,1.7,21,13
37,2001,Oregon,7454,214.6,30,36,1144,32.9,36,42,13,0.4,33,23
38,2001,Pennsylvania,28371,230.6,9,29,14244,115.8,10,20,100,0.8,19,19
39,2001,Rhode Island,2912,274.8,39,19,830,78.3,38,27,9,0.8,37,19
40,2001,South Carolina,15329,377.4,17,5,10805,266,14,3,235,5.8,11,1
41,2001,South Dakota,1821,240.1,45,28,289,38.1,42,41,1,0.1,41,26
42,2001,Tennessee,15560,270.6,16,20,10145,176.5,15,10,331,5.8,8,1
43,2001,Texas,69752,326.4,2,11,30024,140.5,1,16,478,2.2,3,11
44,2001,Utah,3004,131.8,38,46,219,9.6,43,48,11,0.5,35,22
45,2001,Vermont,638,104.1,50,50,76,12.4,49,45,3,0.5,40,22
46,2001,Virginia,18337,254.8,11,24,11095,154.2,13,15,102,1.4,18,15
47,2001,Washington,13631,227.4,22,32,2991,49.9,28,37,57,1,22,17
48,2001,West Virginia,2346,130.3,42,47,732,40.6,39,40,5,0.3,39,24
49,2001,Wisconsin,16284,301.2,14,15,6011,111.2,21,22,22,0.4,30,23
50,2001,Wyoming,839,169.9,49,41,77,15.6,47,43,1,0.2,41,25
1,2002,Alabama,15611,348,18,9,10118,225.5,13,3,149,3.3,15,7
2,2002,Alaska,3806,591.2,38,1,641,99.6,41,24,0,0,39,
3,2002,Arizona,14973,274.4,19,26,3795,69.6,24,34,200,3.7,10,5
4,2002,Arkansas,7312,269.8,31,29,4584,169.1,23,11,34,1.3,28,17
5,2002,California,110288,314.1,1,14,24606,70.1,2,33,1033,2.9,1,8
6,2002,Colorado,14028,311.3,23,16,3511,77.9,26,32,64,1.4,23,16
7,2002,Connecticut,9808,283.4,28,22,3241,93.7,28,25,28,0.8,30,21
8,2002,Delaware,2649,328.1,41,11,1576,195.2,33,6,11,1.4,34,16
9,2002,Florida,42058,251.6,5,34,21348,127.7,6,17,617,3.7,2,5
10,2002,Georgia,33998,397.2,7,5,18383,214.7,7,5,439,5.1,7,1
11,2002,Hawaii,4521,363.2,37,7,740,59.4,40,36,11,0.9,34,20
12,2002,Idaho,2503,186.6,42,43,94,7,48,49,8,0.6,35,23
13,2002,Illinois,48101,381.7,4,6,24026,190.7,3,8,479,3.8,5,4
14,2002,Indiana,17100,277.6,13,23,7395,120.1,19,19,62,1,24,19
15,2002,Iowa,6195,210.9,34,38,1480,50.4,35,38,8,0.3,35,24
16,2002,Kansas,6784,249.8,33,35,2744,101,31,23,20,0.7,31,22
17,2002,Kentucky,8756,213.9,29,37,3772,92.2,25,26,88,2.2,19,11
18,2002,Louisiana,18442,411.4,12,2,11387,254,11,1,152,3.4,14,6
19,2002,Maine,1805,139.4,46,48,142,11,44,47,2,0.2,38,25
20,2002,Maryland,16891,309.5,15,17,9355,171.4,14,10,228,4.2,9,3
21,2002,Massachusetts,10914,169.8,25,44,3242,50.4,27,38,99,1.5,18,15
22,2002,Michigan,32272,321.1,8,12,14770,147,9,14,486,4.8,4,2
23,2002,Minnesota,10107,201.3,27,39,3049,60.7,29,35,59,1.2,25,18
24,2002,Mississippi,11800,410.9,24,3,6875,239.4,20,2,49,1.7,26,17
25,2002,Missouri,16181,285.2,16,21,8952,157.8,17,13,34,0.6,28,23
26,2002,Montana,2475,272.1,43,28,123,13.5,45,44,0,0,39,
27,2002,Nebraska,4779,276.4,36,25,1564,90.4,34,29,6,0.3,37,24
28,2002,Nevada,5936,273.1,35,27,1988,91.5,32,28,15,0.7,32,22
29,2002,New Hampshire,1557,122.1,47,50,120,9.4,46,48,8,0.6,35,23
30,2002,New Jersey,14164,164.9,22,45,7894,91.9,18,27,169,2,11,13
31,2002,New Mexico,7417,399.8,30,4,1462,78.8,36,31,39,2.1,27,12
32,2002,New York,51123,266.9,3,30,21841,114,5,21,478,2.5,6,10
33,2002,North Carolina,24726,297.2,10,19,15531,186.7,8,9,279,3.4,8,6
34,2002,North Dakota,1256,198.1,48,41,72,11.4,49,46,0,0,39,
35,2002,Ohio,38032,333,6,10,22008,192.7,4,7,159,1.4,13,16
36,2002,Oklahoma,10804,309.2,26,18,4661,133.4,22,16,72,2.1,20,12
37,2002,Oregon,7009,199,32,40,909,25.8,38,41,28,0.8,30,21
38,2002,Pennsylvania,31791,257.7,9,32,13294,107.8,10,22,105,0.9,17,20
39,2002,Rhode Island,2832,264.7,40,31,900,84.1,39,30,13,1.2,33,18
40,2002,South Carolina,14314,348.5,21,8,9152,222.8,16,4,134,3.3,16,7
41,2002,South Dakota,2215,291,45,20,263,34.6,43,40,0,0,39,
42,2002,Tennessee,16042,276.7,17,24,9348,161.2,15,12,168,2.9,12,8
43,2002,Texas,69521,319.2,2,13,26988,123.9,1,18,589,2.7,3,9
44,2002,Utah,3540,152.8,39,47,374,16.1,42,42,7,0.3,36,24
45,2002,Vermont,954,154.7,49,46,98,15.9,47,43,2,0.3,38,24
46,2002,Virginia,18518,253.9,11,33,10462,143.4,12,15,71,1,21,19
47,2002,Washington,14934,246.1,20,36,2925,48.2,30,39,70,1.2,22,18
48,2002,West Virginia,2464,136.7,44,49,974,54.1,37,37,2,0.1,38,26
49,2002,Wisconsin,17000,312.4,14,15,6341,116.5,21,20,30,0.6,29,23
50,2002,Wyoming,944,189.3,50,42,65,13,50,45,0,0,39,
1,2003,Alabama,14209,315.7,21,17,9303,206.7,12,3,114,2.5,17,10
2,2003,Alaska,3900,601.1,38,1,573,88.3,41,29,1,0.2,42,27
3,2003,Arizona,12819,229.7,23,37,3580,64.1,24,32,186,3.3,10,7
4,2003,Arkansas,7856,288.2,30,24,4251,156,23,9,51,1.9,24,14
