Line,WellC,PLATE,RIL,Treat,Lipid.per.Fly
137C,E10,EPSILON 2,137,C,1.121272959
137DR,F2,EPSILON 2,137,DR,1.290330969
137DR,F7,EPSILON 2,137,DR,1.304780601
137HS,E4,EPSILON 2,137,HS,1.323564824
137HS,E9,EPSILON 2,137,HS,1.586543952
139C,C6,PLATE1,139,C,2.394265559
139C,NA,PLATE1,139,C,1.718033516
139DR,C7,PLATE1,139,DR,0.653594189
139DR,NA,PLATE1,139,DR,0.916573317
139HS,C5,PLATE1,139,HS,1.060585696
139HS,NA,PLATE1,139,HS,1.254689338
140C,H1,LAMBDA1,140,C,1.041801473
140C,H6,LAMBDA1,140,C,0.609764334
140DR,H3,LAMBDA1,140,DR,1.329826232
140DR,H8,LAMBDA1,140,DR,1.060585696
140HS,H2,LAMBDA1,140,HS,0.503320401
140HS,H7,LAMBDA1,140,HS,1.060585696
142DR,H4,DELTA 1,142,DR,1.348610455
142DR,H9,DELTA 1,142,DR,1.90587575
142HS,D3,DELTA 1,142,HS,1.799431817
142HS,D8,DELTA 1,142,HS,0.810129384
143C,C9,PLATE1,143,C,0.684901228
143C,NA,PLATE1,143,C,2.269037403
143DR,C10,PLATE1,143,DR,2.081195169
143DR,NA,PLATE1,143,DR,1.548975505
143HS,C8,PLATE1,143,HS,0.891527685
143HS,NA,PLATE1,143,HS,0.853959238
144C,D2,PLATE1,144,C,1.148245405
144C,NA,PLATE1,144,C,1.461315796
144DR,D3,PLATE1,144,DR,1.924659974
144DR,NA,PLATE1,144,DR,2.269037403
145C,A4,LAMBDA1,145,C,1.862045895
145C,A9,LAMBDA1,145,C,1.123199774
145DR,G4,LAMBDA1,145,DR,1.285996377
145DR,G9,LAMBDA1,145,DR,0.947880356
145HS,A5,LAMBDA1,145,HS,1.242166523
145HS,A10,LAMBDA1,145,HS,2.638460464
146C,D5,EPSILON 1,146,C,2.5069709
146C,D10,EPSILON 1,146,C,0.722469675
146DR,D1,EPSILON 2,146,DR,1.235905115
146DR,D6,EPSILON 2,146,DR,2.175116286
148C,E5,EPSILON 1,148,C,1.066847104
148C,E10,EPSILON 1,148,C,1.411224533
148DR,E1,EPSILON 2,148,DR,1.104415551
148DR,E6,EPSILON 2,148,DR,1.010494434
148HS,E4,EPSILON 1,148,HS,1.323564824
148HS,E9,EPSILON 1,148,HS,1.19207526
150C,D5,PLATE1,150,C,1.417485941
150C,NA,PLATE1,150,C,0.860220646
150DR,D6,PLATE1,150,DR,0.872743462
150DR,NA,PLATE1,150,DR,1.523929874
150HS,D4,PLATE1,150,HS,1.743079147
150HS,NA,PLATE1,150,HS,2.081195169
152C,F5,EPSILON 1,152,C,1.455054388
152C,F10,EPSILON 1,152,C,1.323564824
152DR,F1,EPSILON 2,152,DR,1.542714097
152DR,F6,EPSILON 2,152,DR,0.803867976
152HS,F4,EPSILON 1,152,HS,2.325390073
152HS,F9,EPSILON 1,152,HS,2.638460464
154C,D8,PLATE1,154,C,1.073108512
154C,NA,PLATE1,154,C,0.872743462
154DR,D9,PLATE1,154,DR,0.778822345
154DR,NA,PLATE1,154,DR,1.073108512
154HS,D7,PLATE1,154,HS,0.941618948
154HS,NA,PLATE1,154,HS,1.348610455
156C,C2,THETA 2,156,C,1.235905115
156C,C7,THETA 2,156,C,0.904050501
156DR,C3,THETA 2,156,DR,1.436270165
156DR,C8,THETA 2,156,DR,1.542714097
156HS,C1,THETA 2,156,HS,1.404963126
156HS,C6,THETA 2,156,HS,1.254689338
157C,D1,ZETA 1,157,C,1.041801473
157C,D6,ZETA 1,157,C,1.523929874
157DR,D3,ZETA 1,157,DR,0.548354144
157DR,D8,ZETA 1,157,DR,0.294767128
157HS,D2,ZETA 1,157,HS,0.754980602
157HS,D7,ZETA 1,157,HS,0.679843708
158C,G5,EPSILON 1,158,C,1.064920288
158C,G10,EPSILON 1,158,C,0.726804267
158DR,G1,EPSILON 2,158,DR,0.679843708
158DR,G6,EPSILON 2,158,DR,0.275982905
158HS,G4,EPSILON 1,158,HS,0.547150256
158HS,G9,EPSILON 1,158,HS,0.609764334
159C,H5,EPSILON 1,159,C,1.205801964
159C,H10,EPSILON 1,159,C,1.299723081
159DR,H1,EPSILON 2,159,DR,0.760038121
159DR,H6,EPSILON 2,159,DR,0.803867976
159HS,H4,EPSILON 1,159,HS,0.578457295
159HS,H9,EPSILON 1,159,HS,0.453229139
163C,E1,PLATE1,163,C,0.482609362
163C,NA,PLATE1,163,C,0.585922591
163DR,E2,PLATE1,163,DR,0.553411664
163DR,NA,PLATE1,163,DR,0.271648312
163HS,D10,PLATE1,163,HS,0.446967731
163HS,NA,PLATE1,163,HS,0.490797586
165C,H5,THETA 1,165,C,0.27790972
165C,H10,THETA 1,165,C,0.252864089
165DR,H1,THETA 2,165,DR,0.597241518
165DR,H6,THETA 2,165,DR,0.697424043
165HS,H4,THETA 1,165,HS,0.409399284
165HS,H9,THETA 1,165,HS,0.797606568
166C,E4,PLATE1,166,C,1.39244031
166C,NA,PLATE1,166,C,1.386178902
166DR,E5,PLATE1,166,DR,0.666117004
166DR,NA,PLATE1,166,DR,0.415660692
166HS,E3,PLATE1,166,HS,0.465751954
166HS,NA,PLATE1,166,HS,0.47827477
168C,A3,EPSILON 2,168,C,0.497058993
168C,A8,EPSILON 2,168,C,0.628548557
168DR,A4,EPSILON 2,168,DR,1.060585696
168DR,A9,EPSILON 2,168,DR,0.390615061
168HS,A2,EPSILON 2,168,HS,0.403137876
