Line,WellC,PLATE,RIL,Treat,Lipid.per.Fly
384DR,E4,BETA 2,384,DR,1.555236913
384DR,NA,BETA 2,384,DR,1.473838611
385C,G1,BETA 2,385,C,1.373656087
385C,NA,BETA 2,385,C,0.947880356
385DR,E5,BETA 2,385,DR,1.542714097
385DR,NA,BETA 2,385,DR,1.198336668
385HS,G5,BETA 2,385,HS,1.530191282
385HS,NA,BETA 2,385,HS,1.035540065
389C,A5,BETA 2,389,C,0.760038121
389C,NA,BETA 2,389,C,0.904050501
389DR,F5,IOTA 2,389,DR,1.912137158
389DR,F10,IOTA 2,389,DR,1.7055107
389HS,C4,BETA 2,389,HS,0.847697831
389HS,NA,BETA 2,389,HS,1.07936992
390C,E4,IOTA 2,390,C,2.337912889
390C,E9,IOTA 2,390,C,1.843261672
390DR,E5,IOTA 2,390,DR,1.574021136
390DR,E10,IOTA 2,390,DR,1.386178902
390HS,E3,IOTA 2,390,HS,1.53645269
390HS,E8,IOTA 2,390,HS,1.254689338
391C,G4,IOTA 1,391,C,0.87900487
391C,G9,IOTA 1,391,C,0.866482054
391DR,E3,BETA 2,391,DR,0.747515306
391DR,NA,BETA 2,391,DR,1.273473562
391HS,E1,BETA 2,391,HS,0.872743462
